Sr.,Category,Quantity,Rate,Amount,% Amount
63,Broket,1,284.00,284.00,0.01
64,Broket    .,6,541.00,3246.00,0.07
64,Broket    .,2,551.25,1102.50,0.02
64,Broket    .,14,231.00,3234.00,0.07
65,Broket Dimond,3,1258.93,3776.79,0.09
65,Broket Dimond,38,204.75,7780.50,0.18
66,Broket Paithani,6,1312.51,7875.06,0.18
67,Broket Silk.,19,185.00,3515.00,0.08
67,Broket Silk.,22,252.00,5544.00,0.13
67,Broket Silk.,14,267.75,3748.50,0.08
67,Broket Silk.,83,268.00,22244.00,0.50
67,Broket Silk.,15,257.00,3855.00,0.09
67,Broket Silk.,3,862.06,2586.18,0.06
67,Broket Silk.,3,399.00,1197.00,0.03
68,Catlog Saree,2,798.00,1596.00,0.04
68,Catlog Saree,7,682.50,4777.50,0.11
72,Chandrakor Paithani,1,315.00,315.00,0.01
72,Chandrakor Paithani,1,640.52,640.52,0.01
72,Chandrakor Paithani,3,839.00,2517.00,0.06
73,Chandrakor Paithani 1,2,624.00,1248.00,0.03
73,Chandrakor Paithani 1,1,1296.77,1296.77,0.03
73,Chandrakor Paithani 1,7,324.00,2268.00,0.05
74,Chandrakor Paithani.,2,682.50,1365.00,0.03
78,Checks Cotton,2,334.17,668.34,0.02
