Sr.,Category,Quantity,Rate,Amount,% Amount
221,PAITHANI,5,1050.00,5250.00,0.12
221,PAITHANI,1,1575.00,1575.00,0.04
221,PAITHANI,5,3045.00,15225.00,0.34
221,PAITHANI,1,1025.00,1025.00,0.02
221,PAITHANI,3,2050.00,6150.00,0.14
221,PAITHANI,1,1375.00,1375.00,0.03
221,PAITHANI,1,1845.00,1845.00,0.04
221,PAITHANI,2,748.12,1496.24,0.03
221,PAITHANI,2,1097.27,2194.54,0.05
222,PAITHANI  BORDER,1,389.00,389.00,0.01
223,PAITHANI 10 YARD,6,2299.50,13797.00,0.31
Sr.,Category,Quantity,Rate,Amount,% Amount
224,PAITHANI BORDER,11,430.52,4735.72,0.11
224,PAITHANI BORDER,2,435.78,871.56,0.02
224,PAITHANI BORDER,1,840.00,840.00,0.02
224,PAITHANI BORDER,2,719.00,1438.00,0.03
225,PAITHANI SILK,7,1733.00,12131.00,0.27
225,PAITHANI SILK,3,1024.00,3072.00,0.07
225,PAITHANI SILK,3,1653.75,4961.25,0.11
226,PAITHANI SIROSKI,1,3150.05,3150.05,0.07
227,"PAITHANI,",5,473.00,2365.00,0.05
227,"PAITHANI,",1,399.00,399.00,0.01
227,"PAITHANI,",15,304.50,4567.50,0.10
227,"PAITHANI,",2,262.50,525.00,0.01
227,"PAITHANI,",4,368.00,1472.00,0.03
227,"PAITHANI,",1,2588.00,2588.00,0.06
227,"PAITHANI,",6,1360.00,8160.00,0.18
227,"PAITHANI,",1,2483.00,2483.00,0.06
227,"PAITHANI,",1,1102.51,1102.51,0.02
227,"PAITHANI,",9,368.00,3312.00,0.07
227,"PAITHANI,",4,393.75,1575.00,0.04
229,"PAITHANI.,",18,361.20,6501.60,0.15
229,"PAITHANI.,",12,354.93,4259.16,0.10
230,PAITHANI.. ..,23,173.25,3984.75,0.09
230,PAITHANI.. ..,12,183.75,2205.00,0.05
230,PAITHANI.. ..,7,273.00,1911.00,0.04
231,PAITHANI...,7,199.50,1396.50,0.03
232,PAITHANI....,2,1355.00,2710.00,0.06
232,PAITHANI....,13,1670.00,21710.00,0.49
232,PAITHANI....,5,2195.00,10975.00,0.25
232,PAITHANI....,2,2300.00,4600.00,0.10
232,PAITHANI....,6,934.51,5607.06,0.13
233,PARTY WEAR,1,2719.52,2719.52,0.06
233,PARTY WEAR,2,3034.52,6069.04,0.14
